,xrsa,xrsb
2017-09-07 08:05:00,3.6897507e-08,1.700004e-06
2017-09-07 08:06:00,3.6612878e-08,1.6862474e-06
2017-09-07 08:07:00,3.6067842e-08,1.6667807e-06
2017-09-07 08:08:00,3.3648497e-08,1.6396353e-06
2017-09-07 08:09:00,3.3660612e-08,1.6268089e-06
2017-09-07 08:10:00,3.0708343e-08,1.6188924e-06
2017-09-07 08:11:00,2.9164077e-08,1.5987767e-06
2017-09-07 08:12:00,2.9433567e-08,1.6055122e-06
2017-09-07 08:13:00,3.747585e-08,1.6287555e-06
2017-09-07 08:14:00,6.7725246e-08,1.7996738e-06
2017-09-07 08:15:00,8.326174e-08,1.914251e-06
2017-09-07 08:16:00,1.1836799e-07,2.2300192e-06
2017-09-07 08:17:00,1.2309162e-07,2.3927614e-06
2017-09-07 08:18:00,9.542357e-08,2.2715396e-06
2017-09-07 08:19:00,7.712708e-08,2.159939e-06
2017-09-07 08:20:00,6.1684446e-08,2.0105638e-06
2017-09-07 08:21:00,5.6552043e-08,1.9241313e-06
2017-09-07 08:22:00,5.7620916e-08,1.9185163e-06
2017-09-07 08:23:00,6.0231024e-08,1.9634542e-06
2017-09-07 08:24:00,4.9012403e-08,1.8960992e-06
2017-09-07 08:25:00,4.216617e-08,1.8181543e-06
2017-09-07 08:26:00,3.706707e-08,1.7678781e-06
2017-09-07 08:27:00,3.8974694e-08,1.7629465e-06
2017-09-07 08:28:00,6.30213e-08,1.9546467e-06
2017-09-07 08:29:00,5.7233336e-08,1.9162148e-06
2017-09-07 08:30:00,4.8694467e-08,1.8413327e-06
2017-09-07 08:31:00,5.310016e-08,1.7999333e-06
2017-09-07 08:32:00,1.7315642e-08,3.971534e-07
2017-09-07 08:33:00,1e-09,1.7175582e-08
2017-09-07 08:34:00,1e-09,7.822262e-09
2017-09-07 08:35:00,1e-09,1.1010486e-08
2017-09-07 08:36:00,1.9577926e-09,6.654255e-09
2017-09-07 08:37:00,1.458178e-09,1.3333373e-09
2017-09-07 08:38:00,2.2303097e-09,7.432926e-09
2017-09-07 08:39:00,1e-09,2.0921236e-08
2017-09-07 08:40:00,1e-09,2.248723e-08
2017-09-07 08:41:00,1e-09,2.3914794e-08
2017-09-07 08:42:00,1e-09,2.3304835e-08
